index,h,shock,beta,se,nobs,lo_90,hi_90,lo_95,hi_95,shock_label
HS300,4,d_tone_macro,-0.221443829530415,0.471360161646141,77,-0.996762301014502,0.553874641953673,-1.14529277010383,0.702405111043,dToneMacro (z)
HS300,5,d_tone_policy,-0.0128394453581868,0.488730660290107,77,-0.816729844538757,0.791050953822384,-0.970733937667276,0.945055046950903,dTonePolicy (z)
HS300,5,d_tone_macro,-0.13720557374293,0.530127941357754,77,-1.00918844083355,0.734777293347688,-1.17623724600249,0.901826098516628,dToneMacro (z)
HS300,6,d_tone_policy,-0.609217867259882,0.470791406302403,77,-1.38360081945397,0.165165084934209,-1.53195206784355,0.313516333323791,dTonePolicy (z)
HS300,6,d_tone_macro,-0.244491755992802,0.436575025809726,77,-0.962593770632362,0.473610258646758,-1.10016308312951,0.611179571143905,dToneMacro (z)
HS300,7,d_tone_policy,-0.591378806024732,0.580935249684808,77,-1.54693225849275,0.364174646443282,-1.72999097275674,0.547233360707274,dTonePolicy (z)
HS300,7,d_tone_macro,-0.262931590348203,0.513189283727409,77,-1.10705284499986,0.581189664303454,-1.26876410370583,0.742900923009426,dToneMacro (z)
HS300,8,d_tone_policy,-0.637818155055994,0.607327670519788,77,-1.63678327665846,0.361146966546468,-1.82815851608939,0.552522205977399,dTonePolicy (z)
HS300,8,d_tone_macro,-0.0730580436623371,0.522027800415016,77,-0.931717364544476,0.785601277219802,-1.09621373140443,0.950097644079758,dToneMacro (z)
HS300,9,d_tone_policy,-0.594989044998635,0.595470895836592,77,-1.5744515077595,0.384473417762226,-1.76209055468016,0.572112464682888,dTonePolicy (z)
HS300,9,d_tone_macro,-0.37064230446458,0.629760869164558,77,-1.40650675422201,0.665222145292854,-1.60495092689975,0.863666317970594,dToneMacro (z)
HS300,10,d_tone_policy,-0.415922989043371,0.625456640719716,77,-1.44470761303208,0.612861634945337,-1.64179547874542,0.80994950065868,dTonePolicy (z)
