year,quarter,n_sentences,topn_target,tone_all,tone_p90_all,tone_policy,tone_p90_policy,tone_macro,tone_p90_macro,tone_all_z,tone_p90_all_z,tone_policy_z,tone_p90_policy_z,tone_macro_z,tone_p90_macro_z,similarity_prev,surprise_prev,avg_sent_len,avg_sent_len_rows,prev_quarter_available
2018,2,617,74,0.988017,0.998912,0.146477,0.929131,0.090562,0.570313,0.297101,0.541206,-0.903575,0.030407,-0.465396,-0.252704,0.2958324923761903,0.7041675076238096,18.72495849474267,54.839546191247976,1
2018,3,630,76,0.988351,0.998969,0.230794,0.995908,0.117718,0.964144,0.3025,0.742695,0.34752,0.389094,-0.098005,0.739048,0.3175821554544414,0.6824178445455586,18.337697763229677,53.353968253968254,1
2018,4,684,80,0.95549,0.998976,0.14428,0.886584,0.156337,0.914468,-0.229498,0.766803,-0.936173,-0.19813,0.424459,0.613953,0.3397156449929988,0.6602843550070012,18.286582278481013,52.801169590643276,1
2019,1,657,79,0.936019,0.998883,0.182013,0.989343,0.047102,0.009648,-0.544718,0.438613,-0.376287,0.353834,-1.053356,-1.664582,0.2777863968825749,0.7222136031174251,18.24772605671482,51.91019786910198,1
2019,2,633,76,0.988769,0.998934,0.183752,0.990619,0.12584,0.889761,0.309269,0.619828,-0.350492,0.360685,0.01187,0.551736,0.34922616769722925,0.6507738323027707,17.8779443254818,52.758293838862556,1
2019,3,548,66,0.977804,0.998688,0.109995,0.562476,0.155541,0.988849,0.131755,-0.245318,-1.444901,-1.939058,0.413689,0.801261,0.39950755348133843,0.6004924465186616,17.69818652849741,49.86496350364963,1
2019,4,580,70,0.932557,0.998789,0.168456,0.869125,0.080164,0.838868,-0.600773,0.108225,-0.577449,-0.291911,-0.606065,0.423576,0.4270767869312651,0.572923213068735,18.507236842105264,48.501724137931035,1
2020,1,568,68,0.994762,0.998931,0.225454,0.994266,0.179854,0.996749,0.406285,0.610445,0.268292,0.380279,0.742616,0.821155,0.445420617194738,0.554579382805262,17.792729591836736,49.11795774647887,1
2020,2,548,66,0.994925,0.99901,0.258091,0.998034,0.08625,0.8603,0.408937,0.886041,0.752569,0.400517,-0.523728,0.477547,0.5844149232357494,0.4155850767642506,18.643333333333334,51.03102189781022,1
2020,3,578,69,0.963477,0.998522,0.260407,0.995349,0.07259,0.044144,-0.100192,-0.829396,0.786922,0.386094,-0.708527,-1.577713,0.5656380545090114,0.4343619454909886,19.080976863753214,51.36678200692042,1
2020,4,621,75,0.994453,0.998832,0.314062,0.997294,0.109851,0.649437,0.401283,0.259536,1.58306,0.396542,-0.204437,-0.053453,0.5097759793118135,0.4902240206881865,19.40495867768595,52.93397745571659,1
2021,1,518,62,0.971088,0.998838,0.152564,0.992868,0.152069,0.98972,0.023023,0.282895,-0.813253,0.372767,0.366716,0.803453,0.41748630433639256,0.5825136956636074,18.88372093023256,51.729729729729726,1
2021,2,548,66,0.949764,0.998492,0.1502,0.941646,0.151063,0.97326,-0.322198,-0.936361,-0.848326,0.097633,0.353109,0.762005,0.44579192694348413,0.5542080730565159,20.010135135135137,54.04197080291971,1
2021,3,544,65,0.985787,0.998896,0.256164,0.995667,0.195307,0.991968,0.260998,0.487356,0.723969,0.387803,0.951679,0.809113,0.4722115453356962,0.5277884546643038,19.302570863546475,53.82720588235294,1
2021,4,634,76,0.98986,0.998984,0.156464,0.99266,0.108104,0.98924,0.326929,0.795219,-0.755391,0.371651,-0.228068,0.802246,0.44048730715263373,0.5595126928473663,19.72805507745267,54.23659305993691,1
2022,1,539,65,0.988154,0.998926,0.142463,0.946377,0.13275,0.99179,0.299312,0.589703,-0.963137,0.123044,0.105358,0.808667,0.4240339924790495,0.5759660075209505,19.845733788395904,53.94063079777366,1
2022,2,539,65,0.981057,0.998805,0.12275,0.869675,0.214039,0.993782,0.184409,0.166379,-1.255636,-0.288956,1.205099,0.813682,0.40946641670156886,0.5905335832984311,20.594066082265677,56.66233766233766,1
2022,3,537,64,0.982339,0.998803,0.194403,0.99344,0.08987,0.89853,0.205172,0.157815,-0.192443,0.375837,-0.474756,0.573817,0.4066360676282649,0.5933639323717351,19.694109772423026,54.791433891992554,1
2022,4,615,74,0.98786,0.998751,0.192015,0.993416,0.240722,0.994439,0.294545,-0.024342,-0.227877,0.375713,1.566098,0.815336,0.41993011499468436,0.5800698850053156,20.25717776420281,53.920325203252034,1
2023,1,567,68,0.994579,0.999186,0.256765,0.996534,0.148728,0.980416,0.403337,1.507334,0.732892,0.392457,0.321519,0.780025,0.2765978802815273,0.7234021197184727,17.96020874103066,48.55908289241623,1
2023,2,558,67,0.984447,0.998756,0.189176,0.98942,0.097977,0.842212,0.2393,-0.007493,-0.270001,0.354248,-0.365074,0.431996,0.2540731508692676,0.7459268491307324,17.163913595933927,48.415770609319,1
2023,3,530,64,0.813149,0.998499,0.147508,0.946183,0.079635,0.923742,-2.533925,-0.910793,-0.888274,0.122003,-0.613219,0.637308,0.4141083910405351,0.5858916089594649,18.07844474761255,50.00566037735849,1
2023,4,638,77,0.871169,0.99873,0.123146,0.959654,0.036081,0.010404,-1.594615,-0.097956,-1.249762,0.19436,-1.202458,-1.662678,0.37599529289506173,0.6240047071049383,18.590017825311943,49.039184952978054,1
2024,1,583,70,0.870162,0.998827,0.166204,0.993281,0.032535,0.001882,-1.610916,0.241741,-0.610864,0.374987,-1.250433,-1.684136,0.3253075899308219,0.674692410069178,16.949809402795427,45.76157804459691,1
2024,2,629,75,0.97817,0.998948,0.252413,0.997673,0.043062,0.002685,0.137675,0.669035,0.668312,0.398576,-1.108017,-1.682116,0.3144092588568157,0.6855907411431843,17.98380323935213,47.66136724960254,1
2024,3,604,72,0.684408,0.998202,0.145568,0.878593,0.024195,0.004425,-4.618168,-1.953392,-0.917057,-0.241053,-1.363263,-1.677733,0.38785263605792153,0.6121473639420785,18.221875,48.269867549668874,1
2024,4,585,70,0.600042,0.998597,0.040682,0.007199,0.056233,0.005779,-5.983999,-0.564738,-2.473375,-4.92169,-0.929824,-1.674323,0.3936053350769108,0.6063946649230891,19.275426405559067,52.15897435897436,1
