event_date,event_date_raw,D_policy,S_policy,S_policy_available,interbank_date_used,D_RRR,D_RateAdj,D_SLF
2024-10-08,2024-10-08,1,0.5219,1,2024-10-08,0,0,1
2024-10-21,2024-10-21,1,0.08319999999999994,1,2024-10-21,0,1,0
2024-11-01,2024-11-01,1,-0.013900000000000023,1,2024-11-01,0,0,1
2024-11-20,2024-11-20,1,-0.09199999999999986,1,2024-11-20,0,1,0
2024-12-02,2024-12-02,1,0.12670000000000003,1,2024-12-02,0,0,1
2024-12-20,2024-12-20,1,-0.1634,1,2024-12-20,0,1,0
2025-01-02,2025-01-02,1,-0.16710000000000003,1,2025-01-02,0,0,1
2025-01-20,2025-01-20,1,-0.1379999999999999,1,2025-01-20,0,1,0
2025-02-05,2025-02-05,1,-0.02970000000000006,1,2025-02-05,0,0,1
2025-02-20,2025-02-20,1,0.13930000000000042,1,2025-02-20,0,1,0
2025-03-03,2025-03-03,1,0.1652,1,2025-03-03,0,0,1
2025-03-20,2025-03-20,1,-0.10840000000000005,1,2025-03-20,0,1,0
2025-04-01,2025-04-01,1,-0.2522,1,2025-04-01,0,0,1
2025-04-21,2025-04-21,1,0.03620000000000001,1,2025-04-21,0,1,0
2025-05-06,2025-05-06,1,-0.007699999999999818,1,2025-05-06,0,0,1
2025-05-07,2025-05-07,1,-0.10770000000000013,1,2025-05-07,1,0,0
2025-05-20,2025-05-20,1,-0.01990000000000003,1,2025-05-20,0,1,0
2025-06-03,2025-06-03,1,0.0129999999999999,1,2025-06-03,0,0,1
2025-06-20,2025-06-20,1,-0.018000000000000016,1,2025-06-20,0,1,0
2025-07-21,2025-07-21,1,-0.009199999999999875,1,2025-07-21,0,1,0
2025-08-20,2025-08-20,1,-0.027099999999999902,1,2025-08-20,0,1,0
2025-09-22,2025-09-22,1,-0.0233000000000001,1,2025-09-22,0,1,0
2025-10-20,2025-10-20,1,0.005600000000000049,1,2025-10-20,0,1,0
2025-11-20,2025-11-20,1,-0.05469999999999997,1,2025-11-20,0,1,0
2025-12-22,2025-12-22,1,-0.02410000000000001,1,2025-12-22,0,1,0
